Item Type,Order ID,Units Sold,Total Cost,Total Profit
Cosmetics,145224940,4142,1090712.86,720169.54
Vegetables,363983762,9738,885476.34,614759.94
Beverages,101939666,5067,161079.93,79349.22
Clothes,804453980,4664,167157.76,342524.16
Household,387200534,97,48746.38,16075.81
Vegetables,886165654,4964,451376.52,313377.32
Meat,807648169,9896,3608972.24,566051.20
Personal Care,978259408,7553,428028.51,189278.18
Cosmetics,494923198,7627,2008417.91,1326106.49
Meat,774875867,1843,672123.67,105419.60
Cereal,605666244,8956,1048837.16,793412.04
Cereal,195155656,9750,1141822.50,863752.50
Household,721517932,2045,1027694.30,338917.85
Beverages,283239400,5687,180789.73,89058.42
Beverages,649118888,7559,240300.61,118373.94
Meat,508267724,6569,2395648.61,375746.80
Personal Care,420109736,8662,490875.54,217069.72
Beverages,564381253,1809,57508.11,28328.94
Fruits,291131103,1018,7044.56,2453.38
Cereal,370720613,3322,389039.42,294295.98
Cereal,743823611,2791,326854.01,247254.69
Personal Care,971426427,5522,312931.74,138381.32
Cosmetics,684827888,4645,1223167.85,807626.15
Baby Food,935639321,5322,848433.24,510166.92
Vegetables,145784556,9745,886112.85,615201.85
Fruits,857499921,2137,14788.04,5150.17
Baby Food,283334243,3754,598462.68,359858.44
Office Supplies,656148850,7881,4137209.76,994976.25
Personal Care,679117572,4836,274056.12,121190.16
Cereal,475726735,6967,815905.37,617206.53
Baby Food,239775168,3656,582839.52,350464.16
Household,685374200,6311,3171529.94,1045922.03
Baby Food,796947658,3377,538361.34,323719.22
Vegetables,979231870,5326,484293.18,336230.38
Fruits,807275664,9663,66867.96,23287.83
Beverages,376440370,5926,188387.54,92801.16
Beverages,752399814,680,21617.20,10648.80
Cosmetics,821140325,2524,664644.92,438847.88
Cereal,438960731,7090,830309.90,628103.10
Office Supplies,882472360,2037,1069343.52,257171.25
Office Supplies,798599040,2057,1079842.72,259696.25
Snacks,254577100,3876,377677.44,213722.64
Personal Care,287955367,1247,70667.49,31249.82
Vegetables,656595170,9957,905390.01,628585.41
Snacks,288670337,2822,274975.68,155605.08
Personal Care,432667195,4693,265952.31,117606.58
Cosmetics,607384574,7448,1961281.84,1294983.76
Beverages,851933801,4998,158886.42,78268.68
Vegetables,375738704,8287,753536.91,523158.31
Personal Care,708535611,287,16264.29,7192.22
Beverages,750373351,1004,31917.16,15722.64
Office Supplies,821613252,2474,1298751.04,312342.50
Cosmetics,412929141,3764,991174.12,654446.68
Cereal,435307347,5972,699380.92,529059.48
Cereal,970046699,7230,846705.30,640505.70
Baby Food,818758523,7696,1226896.32,737738.56
Meat,653366649,4565,1664809.85,261118.00
Fruits,766107404,7060,48855.20,17014.60
Beverages,619529616,1436,45650.44,22487.76
Snacks,196494615,5978,582496.32,329626.92
Personal Care,450176227,6004,340246.68,150460.24
Office Supplies,154060781,8863,4652720.48,1118953.75
Personal Care,851947104,8935,506346.45,223911.10
Fruits,107946527,2631,18206.52,6340.71
Household,956482875,3393,1705118.22,562321.89
Household,652292478,6694,3364002.76,1109396.62
Vegetables,120424163,5041,458378.13,318238.33
Office Supplies,806239259,2968,1558081.28,374710.00
Beverages,625411593,2043,64946.97,31993.38
Vegetables,713927495,5866,533395.38,370320.58
Office Supplies,478085792,5065,2658922.40,639456.25
Personal Care,744497811,2302,130454.34,57688.12
Personal Care,610087382,7269,411934.23,182161.14
Meat,592090833,1690,616326.10,96668.00
Beverages,378056991,4320,137332.80,67651.20
Beverages,175847184,5944,188959.76,93083.04
Snacks,263635241,4381,426884.64,241568.34
Meat,539907491,9479,3456896.51,542198.80
Fruits,973462760,8118,56176.56,19564.38
Household,253412377,9209,4627890.86,1526207.57
Beverages,739180171,8694,276382.26,136148.04
Personal Care,810502469,4547,257678.49,113947.82
Office Supplies,717428100,1772,930229.12,223715.00
Cereal,330318391,7407,867433.77,656186.13
Cereal,489847171,5518,646212.98,488839.62
Snacks,757000768,2204,214757.76,121528.56
Snacks,763078010,595,57976.80,32808.30
Vegetables,659690225,5852,532122.36,369436.76
Meat,668761241,167,60903.23,9552.40
Personal Care,632527387,7765,440042.55,194590.90
Household,463537490,9899,4974643.46,1640561.27
Personal Care,594652879,9856,558539.52,246991.36
Meat,629047381,7954,2900744.26,454968.80
Baby Food,690207326,6541,1042766.22,627020.26
Baby Food,971931540,4996,796462.32,478916.56
Cosmetics,388331353,4732,1246077.56,822752.84
Cereal,623830592,4190,490690.90,371192.10
Vegetables,283165585,3844,349534.92,242671.72
Fruits,741385161,1199,8297.08,2889.59
Fruits,293850648,5792,40080.64,13958.72
Clothes,906235873,4188,150097.92,307566.72
Clothes,564527165,4988,178769.92,366318.72
Meat,925023353,3821,1393480.49,218561.20
Cereal,564335763,8348,977634.28,739549.32
Office Supplies,829388225,3261,1711894.56,411701.25
Meat,887417066,5285,1927386.65,302302.00
Cereal,875971114,8174,957257.14,724134.66
Snacks,552911698,7713,751554.72,425294.82
Personal Care,646412646,6722,380935.74,168453.32
Clothes,604960286,47,1684.48,3451.68
Cereal,847353446,9570,1120742.70,847806.30
Clothes,512703454,9200,329728.00,675648.00
Fruits,610434138,9882,68383.44,23815.62
Snacks,870281827,4587,446957.28,252927.18
Clothes,192295348,3322,119060.48,243967.68
Baby Food,696836030,8121,1294649.82,778479.06
Clothes,974577701,8054,288655.36,591485.76
Beverages,136506688,4217,134058.43,66038.22
Office Supplies,963921821,4742,2489360.32,598677.50
Beverages,458434426,9789,311192.31,153295.74
Vegetables,191968333,6551,595682.43,413564.63
Cosmetics,456759870,4250,1119152.50,738947.50
Cosmetics,715357863,9143,2407626.19,1589693.41
Personal Care,950623643,9516,539271.72,238470.96
Cereal,315731036,685,80220.35,60684.15
Snacks,284166371,9999,974302.56,551344.86
Fruits,599728477,1838,12718.96,4429.58
Vegetables,626528680,2614,237691.02,165021.82
Vegetables,698990809,5768,524484.24,364133.84
Fruits,771851193,6775,46883.00,16327.75
Baby Food,870158660,8139,1297519.38,780204.54
Vegetables,639274537,4396,399728.28,277519.48
Vegetables,694872653,7114,646876.02,449106.82
Office Supplies,372939336,9892,5192904.32,1248865.00
Office Supplies,879773414,3358,1762815.68,423947.50
Snacks,341986215,175,17052.00,9649.50
Cosmetics,556501567,35,9216.55,6085.45
Clothes,240555799,4661,167050.24,342303.84
Beverages,881697738,2809,89298.11,43988.94
Baby Food,887788712,5264,839186.88,504607.04
Cereal,537002551,9843,1152713.73,871991.37
Vegetables,627825582,6396,581588.28,403779.48
Household,229056632,1802,905577.08,298645.46
Cereal,729807031,4973,582388.03,440558.07
Office Supplies,889500606,1851,971700.96,233688.75
Office Supplies,887873685,409,214708.64,51636.25
Snacks,974975097,5652,550730.88,311651.28
Fruits,121166169,4617,31949.64,11126.97
Fruits,967120730,1371,9487.32,3304.11
Fruits,373825109,2012,13923.04,4848.92
Clothes,672578132,9670,346572.80,710164.80
Snacks,214991128,9507,926362.08,524215.98
Beverages,122987926,3715,118099.85,58176.90
Cereal,238804852,6517,763205.87,577341.03
Office Supplies,474990737,9169,4813358.24,1157586.25
Beverages,364406907,4957,157583.03,77626.62
Personal Care,410227191,4197,237843.99,105176.82
Cereal,735937917,9239,1081979.29,818483.01
Vegetables,635337913,9462,860379.66,597336.06
Snacks,822538506,6278,611728.32,346168.92
Office Supplies,281963527,8128,4266874.88,1026160.00
Office Supplies,318349301,5488,2880980.48,692860.00
Meat,506744658,5860,2137083.40,335192.00
Clothes,942510926,8783,314782.72,645023.52
Household,891321933,822,413087.88,136230.06
Office Supplies,139164006,577,302901.92,72846.25
Cosmetics,342335975,3677,968264.41,639319.99
Beverages,977449166,7784,247453.36,121897.44
Household,691427409,7590,3814278.60,1257890.70
Fruits,451507031,9819,67947.48,23663.79
Household,395236861,8225,4133391.50,1363129.25
Office Supplies,280478227,8595,4512031.20,1085118.75
Meat,835404956,3746,1366128.74,214271.20
Cosmetics,608503377,8526,2245151.58,1482415.62
Cereal,918572318,4816,564001.76,426649.44
Household,904723107,6527,3280078.58,1081719.71
Vegetables,676379573,4601,418368.93,290461.13
Fruits,863278043,2012,13923.04,4848.92
Clothes,365467345,8764,314101.76,643628.16
Snacks,403308808,6894,671751.36,380135.16
Personal Care,467476260,5469,309928.23,137053.14
Beverages,568956029,5587,177610.73,87492.42
Snacks,789046943,5380,524227.20,296653.20
Baby Food,829360330,5007,798215.94,479971.02
Vegetables,461820018,1661,151034.73,104858.93
Fruits,878662335,4566,31596.72,11004.06
Personal Care,642436110,9976,565339.92,249998.56
Personal Care,636002671,6179,350163.93,154845.74
Snacks,912535846,8490,827265.60,468138.60
Meat,245521962,4259,1553214.71,243614.80
Cereal,178759849,7866,921187.26,696848.94
Personal Care,976360833,5722,324265.74,143393.32
Fruits,272748744,1269,8781.48,3058.29
Beverages,722659909,9981,317295.99,156302.46
Clothes,551143157,4363,156369.92,320418.72
Office Supplies,303559815,8950,4698392.00,1129937.50
Beverages,595583713,5311,168836.69,83170.26
Clothes,763201177,7043,252421.12,517237.92
Household,212711036,4777,2400633.58,791692.21
Fruits,670724618,1174,8124.08,2829.34
Beverages,334165751,5927,188419.33,92816.82
Cereal,620270764,758,88769.38,67151.22
Cosmetics,316588485,4423,1164708.59,769027.01
Fruits,530980241,7708,53339.36,18576.28
Personal Care,641619861,8430,477728.10,211255.80
Fruits,546993672,6438,44550.96,15515.58
Vegetables,215900504,8612,783089.16,543675.56
Personal Care,137451684,3863,218916.21,96806.78
Cereal,871071040,8133,952455.63,720502.47
Office Supplies,796494901,9396,4932524.16,1186245.00
Meat,163772094,2657,968981.33,151980.40
Household,643263947,4952,2488578.08,820694.96
Household,375644290,348,174883.92,57674.04
Snacks,721899449,4944,481743.36,272612.16
Clothes,413328254,1870,67020.80,137332.80
Meat,501542031,6287,2292806.03,359616.40
Meat,308464610,388,141499.72,22193.60
Clothes,576332318,8395,300876.80,616528.80
Office Supplies,317693984,1565,821562.40,197581.25
Meat,865410935,3182,1160443.58,182010.40
Snacks,922657001,3565,347373.60,196574.10
Vegetables,612918508,5062,460287.66,319564.06
Clothes,129994285,7052,252743.68,517898.88
Household,187995660,948,476407.92,157112.04
Beverages,671346461,5192,165053.68,81306.72
Clothes,184783017,256,9175.04,18800.64
Snacks,103354156,3646,355266.24,201040.44
Office Supplies,522421205,4899,2571779.04,618498.75
Beverages,707657992,581,18469.99,9098.46
Vegetables,445050847,9291,844830.63,586540.83
Baby Food,490898597,6658,1061418.36,638235.88
Beverages,321812570,346,10999.34,5418.36
Baby Food,384716594,5044,804114.48,483517.84
Fruits,746846997,7478,51747.76,18021.98
Office Supplies,645752608,1402,735993.92,177002.50
Fruits,739294755,2602,18005.84,6270.82
Personal Care,855647265,3895,220729.65,97608.70
Household,443296468,131,65832.74,21710.63
Vegetables,821041190,3188,289884.84,201258.44
Snacks,227992761,6979,680033.76,384822.06
Household,573575007,2446,1229212.84,405375.58
Beverages,687524259,2561,81414.19,40105.26
Beverages,369889342,7331,233052.49,114803.46
Clothes,841031587,8791,315069.44,645611.04
Personal Care,691624820,6008,340473.36,150560.48
Cereal,832655370,82,9603.02,7264.38
Meat,445422065,9142,3333995.98,522922.40
Vegetables,131536233,3349,304524.57,211422.37
Meat,562921702,9896,3608972.24,566051.20
Meat,231814801,8006,2919708.14,457943.20
Cosmetics,400764358,3934,1035940.22,684004.58
Household,152631700,5967,2998656.18,988910.91
Household,440590655,9421,4734429.34,1561342.33
Office Supplies,938127553,1645,863559.20,207681.25
Cosmetics,489041221,7020,1848576.60,1220567.40
Cereal,257442986,1956,229067.16,173282.04
Vegetables,577756679,9895,899752.35,624671.35
Beverages,504718625,6312,200658.48,98845.92
Clothes,963377654,3711,133002.24,272535.84
Clothes,699095094,6629,237583.36,486833.76
Household,327544772,6632,3332845.28,1099121.36
Fruits,984713017,7319,50647.48,17638.79
Cosmetics,276898658,9321,2454498.93,1620642.27
Snacks,830713021,5298,516237.12,292131.72
Beverages,843079936,4943,157137.97,77407.38
Household,831235730,9979,5014846.66,1653819.67
Meat,482729232,9162,3341289.78,524066.40
Household,905421769,3277,1646823.58,543097.21
Fruits,577487170,142,982.64,342.22
Office Supplies,297411763,9605,5042240.80,1212631.25
Cosmetics,933994376,8546,2250418.18,1485893.02
Vegetables,276346337,5877,534395.61,371015.01
Baby Food,683891475,7540,1202026.80,722784.40
Household,536366117,1508,757830.32,249920.84
Fruits,983819091,2786,19279.12,6714.26
Fruits,996611726,8411,58204.12,20270.51
Fruits,515417850,2450,16954.00,5904.50
Household,901223790,1002,503545.08,166061.46
Baby Food,885328376,7195,1147026.90,689712.70
Office Supplies,619342935,6192,3250552.32,781740.00
Fruits,325191295,185,1280.20,445.85
Personal Care,745109784,3398,192564.66,85153.88
Household,891647231,7085,3560495.90,1174197.05
Cosmetics,297664964,4532,1193411.56,787978.84
Vegetables,366336810,6058,550853.94,382441.54
Clothes,321149098,4010,143718.40,294494.40
Office Supplies,355900657,7768,4077889.28,980710.00
Clothes,284702813,8744,313384.96,642159.36
Personal Care,891979396,5380,304884.60,134822.80
Fruits,782466733,8149,56391.08,19639.09
Office Supplies,431213653,4557,2392242.72,575321.25
Vegetables,833581483,4140,376450.20,261358.20
Fruits,355244052,3464,23970.88,8348.24
Office Supplies,582187688,1129,592679.84,142536.25
Cereal,470711219,2765,323809.15,244951.35
Cereal,397425973,6032,706407.52,534374.88
Personal Care,809255778,5623,318655.41,140912.38
Office Supplies,873436963,8262,4337219.52,1043077.50
Office Supplies,727518355,7703,4043766.88,972503.75
Vegetables,129361283,9733,885021.69,614444.29
Snacks,707139575,7169,698547.36,395298.66
Office Supplies,109339559,4860,2551305.60,613575.00
Clothes,554760062,4685,167910.40,344066.40
Cosmetics,282512414,556,146411.48,96671.72
Cereal,302020442,3415,399930.65,302534.85
Clothes,343020474,6236,223498.24,457971.84
Vegetables,205561339,9023,820461.39,569621.99
Beverages,210004365,3813,121215.27,59711.58
Clothes,747023379,9673,346680.32,710385.12
Meat,927604711,7702,2808842.38,440554.40
Vegetables,833047187,6030,548307.90,380673.90
Snacks,164962136,4817,469368.48,265609.38
Snacks,495273387,1256,122384.64,69255.84
Baby Food,316217267,4571,728708.82,438176.06
Beverages,890342605,1017,32330.43,15926.22
Baby Food,400510728,8879,1415490.18,851140.94
Clothes,699895465,3476,124579.84,255277.44
Office Supplies,561983144,2156,1131813.76,272195.00
Office Supplies,630572593,9298,4881078.08,1173872.50
Household,269775140,1314,660337.56,217769.22
Personal Care,714014613,1646,93278.82,41248.76
Baby Food,118027341,5768,919534.56,552920.48
Beverages,306862151,6185,196621.15,96857.10
Cosmetics,925880372,7432,1957068.56,1292201.84
Household,790755832,1078,541738.12,178656.94
Beverages,137474858,720,22888.80,11275.20
Clothes,172336280,6990,250521.60,513345.60
Personal Care,821951425,2547,144338.49,63827.82
Cereal,283244121,7084,829607.24,627571.56
Office Supplies,873450696,2326,1221056.96,293657.50
Cereal,480119979,7026,822814.86,622433.34
Fruits,211113297,1971,13639.32,4750.11
Cosmetics,344604480,4978,1310856.74,865524.86
Clothes,779079854,5897,211348.48,433075.68
Cosmetics,583338248,1606,422907.98,279235.22
Vegetables,246490991,1017,92475.81,64203.21
Cereal,327961909,72,8431.92,6378.48
Cereal,107487332,6745,789906.95,597539.55
Fruits,735116088,6041,41803.72,14558.81
Baby Food,281209504,4996,796462.32,478916.56
Baby Food,486441409,7678,1224026.76,736013.08
Household,911798131,184,92467.36,30494.32
Office Supplies,288578498,5645,2963399.20,712681.25
Meat,568393838,9222,3363171.18,527498.40
Fruits,173167979,3108,21507.36,7490.28
Household,745137250,1526,766876.04,252903.98
Baby Food,396850478,5730,913476.60,549277.80
Cereal,461168992,9008,1054926.88,798018.72
Baby Food,541266620,1676,267187.92,160661.36
Office Supplies,760629689,6083,3193331.68,767978.75
Cosmetics,413057029,1609,423697.97,279756.83
Baby Food,212659966,9665,1540794.30,926486.90
Office Supplies,943862330,8693,4563477.28,1097491.25
Baby Food,311400449,9168,1461562.56,878844.48
Fruits,590323150,8593,59463.56,20709.13
Vegetables,975991761,6506,591590.58,410723.78
Snacks,734080111,9473,923049.12,522341.22
Household,550574529,6093,3061976.22,1009792.89
Fruits,281773841,1996,13812.32,4810.36
Office Supplies,304289376,4843,2542381.28,611428.75
Vegetables,165044963,9327,848104.11,588813.51
Clothes,831276929,2171,77808.64,159438.24
Personal Care,640534102,7130,404057.10,178677.80
Meat,250677812,9990,3643253.10,571428.00
Fruits,389881885,3569,24697.48,8601.29
Vegetables,506632649,2714,246784.02,171334.82
Office Supplies,119728934,9307,4885802.72,1175008.75
Clothes,168282067,7258,260126.72,533027.52
Clothes,761715877,7510,269158.40,551534.40
Clothes,729766690,3036,108810.24,222963.84
Beverages,772483336,3840,122073.60,60134.40
Vegetables,310227143,1960,178222.80,123734.80
Cereal,633671939,6463,756881.93,572557.17
Cereal,853804051,8447,989228.17,748319.73
Vegetables,151922309,6042,549399.06,381431.46
Meat,929638040,9409,3431368.21,538194.80
Office Supplies,258875072,5741,3013795.36,724801.25
Household,231869733,4261,2141322.94,706175.53
Beverages,311170852,1225,38942.75,19183.50
Meat,479639756,4917,1793180.73,281252.40
Baby Food,790450274,657,104738.94,62980.02
Household,917088735,5791,2910209.14,959742.43
Snacks,603353965,4701,458065.44,259213.14
Meat,113357293,3797,1384727.93,217188.40
Cereal,681522548,6522,763791.42,577783.98
Fruits,462586057,8349,57775.08,20121.09
Vegetables,381596648,1783,162128.19,112560.79
Snacks,983915650,1361,132615.84,75045.54
Snacks,185216891,8649,842758.56,476905.86
Clothes,921486699,7247,259732.48,532219.68
Personal Care,799023902,7784,441119.28,195067.04
Personal Care,644439828,2921,165533.07,73200.26
Office Supplies,454658305,2351,1234180.96,296813.75
Office Supplies,746915662,7797,4093113.12,984371.25
Beverages,308760726,8015,254796.85,125514.90
Cereal,248054826,3790,443846.90,335756.10
Cosmetics,842971789,2940,774190.20,511177.80
Fruits,191997945,5313,36765.96,12804.33
Office Supplies,963932120,7790,4089438.40,983487.50
Office Supplies,947885644,9281,4872153.76,1171726.25
Vegetables,703282344,5729,520937.97,361671.77
Household,409858548,5107,2566471.78,846383.11
Office Supplies,317663085,2421,1270928.16,305651.25
Beverages,297057282,4706,149603.74,73695.96
Beverages,288714969,6030,191693.70,94429.80
Snacks,753622472,2491,242723.04,137353.74
Baby Food,423078620,7220,1151012.40,692109.20
Clothes,348694741,5378,192747.52,394960.32
Office Supplies,752394664,9156,4806533.76,1155945.00
Beverages,576414716,2778,88312.62,43503.48
Personal Care,633303725,7501,425081.67,187975.06
Cosmetics,455923020,6608,1740084.64,1148932.96
Snacks,547446429,419,40827.36,23103.66
Cosmetics,131360280,1281,337325.73,222727.47
Cosmetics,301463401,8574,2257791.42,1490761.38
Office Supplies,871867120,3710,1947601.60,468387.50
Meat,826995265,5131,1871224.39,293493.20
Beverages,571584165,3311,105256.69,51850.26
Cosmetics,580682647,5754,1515200.82,1000447.98
Personal Care,949652040,1997,113169.99,50044.82
Personal Care,944166171,8606,487702.02,215666.36
Cosmetics,350211369,4182,1101246.06,727124.34
Household,824086463,4352,2187054.08,721256.96
Baby Food,942402780,6780,1080867.60,649930.80
Vegetables,252084147,6156,559765.08,388628.28
Vegetables,620366895,9205,837010.65,581111.65
Beverages,384799849,9681,307758.99,151604.46
Beverages,203244340,3372,107195.88,52805.52
Beverages,803874194,3093,98326.47,48436.38
Meat,735175740,3694,1347164.86,211296.80
Cosmetics,415947806,7054,1857529.82,1226478.98
Office Supplies,785301721,7085,3719341.60,894481.25
Personal Care,152661311,4729,267992.43,118508.74
Beverages,947762906,2960,94098.40,46353.60
Household,270655333,1783,896028.82,295496.59
Snacks,241699922,3233,315023.52,178267.62
Personal Care,351570498,6378,361441.26,159832.68
Snacks,611253392,2317,225768.48,127759.38
Meat,202047431,9180,3347854.20,525096.00
Vegetables,625563943,7127,648058.11,449927.51
Cosmetics,753726756,3351,882418.83,582638.37
Meat,878772199,7077,2580911.13,404804.40
Baby Food,463249099,4558,726636.36,436929.88
Cosmetics,390018784,4080,1074386.40,709389.60
Office Supplies,712255084,962,505011.52,121452.50
Cereal,203444325,2552,298864.72,226081.68
Office Supplies,407385337,3229,1695095.84,407661.25
Personal Care,688189446,9405,532981.35,235689.30
Household,480280482,4522,2272485.88,749431.06
Clothes,638394773,4055,145331.20,297799.20
Snacks,287581145,506,49304.64,27900.84
Household,873200929,8414,4228371.56,1394452.22
Cosmetics,310927951,9345,2460818.85,1624815.15
Snacks,636748540,6898,672141.12,380355.72
Personal Care,356961524,1702,96452.34,42652.12
Clothes,298178231,6420,230092.80,471484.80
Baby Food,457322490,742,118289.64,71128.12
Meat,451630628,6394,2331827.86,365736.80
Snacks,868651473,2129,207449.76,117393.06
Baby Food,116246354,8734,1392374.28,837241.24
Office Supplies,272589099,4027,2114013.92,508408.75
Baby Food,336166036,7855,1252244.10,752980.30
Snacks,275775992,7099,691726.56,391438.86
Clothes,580530297,670,24012.80,49204.80
Clothes,909852778,4511,161674.24,331287.84
Office Supplies,543479764,6594,3461586.24,832492.50
Clothes,631460082,1926,69027.84,141445.44
Cereal,144155061,7541,883126.51,668057.19
Cereal,822238528,7507,879144.77,665045.13
Cosmetics,426696813,7924,2086626.92,1377745.88
Snacks,388828742,1920,187084.80,105868.80
Fruits,860245645,4658,32233.36,11225.78
Clothes,262871348,8328,298475.52,611608.32
Vegetables,238942182,7156,650695.08,451758.28
Vegetables,701006972,2396,217868.28,151259.48
Meat,281927049,7334,2674636.46,419504.80
Snacks,384876239,2287,222845.28,126105.18
Fruits,233340871,9604,66459.68,23145.64
Office Supplies,921119773,8665,4548778.40,1093956.25
Baby Food,462324273,881,140449.02,84452.66
Clothes,541378200,4695,168268.80,344800.80
Baby Food,663017880,579,92304.18,55502.94
Vegetables,402292144,6040,549217.20,381305.20
Baby Food,754562318,613,97724.46,58762.18
Meat,985502231,865,315456.85,49478.00
Snacks,881098210,5395,525688.80,297480.30
Fruits,297649085,9834,68051.28,23699.94
Clothes,511766183,1841,65981.44,135203.04
Office Supplies,170373332,6110,3207505.60,771387.50
Baby Food,240706861,9364,1492808.88,897633.04
Meat,860315597,5358,1954009.02,306477.60
Meat,887060868,9878,3602407.82,565021.60
Clothes,149116504,5742,205793.28,421692.48
Clothes,794968831,7798,279480.32,572685.12
Cosmetics,543416678,7926,2087153.58,1378093.62
Vegetables,333571374,37,3364.41,2335.81
Household,274856746,5074,2549887.96,840914.02
Vegetables,997009122,6010,546489.30,379411.30
Personal Care,500077331,2850,161509.50,71421.00
Personal Care,904422700,7630,432392.10,191207.80
Vegetables,800719058,9418,856378.74,594558.34
Snacks,199952733,9312,907361.28,513463.68
Beverages,983422553,5442,173001.18,85221.72
Office Supplies,152739846,7970,4183931.20,1006212.50
Cereal,179828441,4087,478628.57,362067.33
Meat,456924664,3017,1100269.73,172572.40
Office Supplies,446577346,1015,532834.40,128143.75
Cereal,131647813,6368,745756.48,564141.12
Cereal,465309894,4393,514464.23,389175.87
Household,221049916,2437,1224689.98,403884.01
Cosmetics,942666709,4882,1285577.06,848833.34
Clothes,194271600,8138,291665.92,597654.72
Meat,110288417,5648,2059769.12,323065.60
Office Supplies,645453488,2885,1514509.60,364231.25
Personal Care,924815642,2355,133457.85,59016.30
Household,593736207,8593,4318326.22,1424117.89
Household,267889010,3166,1591041.64,524701.18
Cereal,183260381,9674,1132922.14,857019.66
Clothes,646149146,8746,313456.64,642306.24
Cereal,683166635,3043,356365.73,269579.37
Household,291236674,2259,1135237.86,374384.07
Snacks,887595593,8115,790725.60,447461.10
Baby Food,359792220,9368,1493446.56,898016.48
Cosmetics,715687882,6803,1791433.99,1182837.61
Snacks,433456408,8238,802710.72,454243.32
Snacks,311584126,3522,343183.68,194203.08
Office Supplies,318869864,9534,5004968.64,1203667.50
Fruits,944424951,5185,35880.20,12495.85
Vegetables,947673213,6418,583588.74,405168.34
Office Supplies,508350980,1206,633101.76,152257.50
Fruits,776507079,4555,31520.60,10977.55
Office Supplies,722502839,3501,1837884.96,442001.25
Office Supplies,287012088,2110,1107665.60,266387.50
Clothes,831021153,6481,232279.04,475964.64
Snacks,185828864,9745,949552.80,537339.30
Snacks,303046548,7063,688218.72,389453.82
Fruits,504598033,626,4331.92,1508.66
Baby Food,632719647,4659,742737.78,446611.74
Fruits,599960219,416,2878.72,1002.56
Beverages,839181077,1184,37639.36,18541.44
Cereal,953556048,7280,852560.80,644935.20
Office Supplies,166571462,1052,552257.92,132815.00
Clothes,472026145,1881,67415.04,138140.64
Clothes,784031426,1177,42183.68,86438.88
Cosmetics,987011134,7383,1944165.39,1283682.21
Fruits,585701596,973,6733.16,2344.93
Household,955151641,9451,4749505.54,1566314.23
Household,390722596,2354,1182979.16,390128.42
Personal Care,858088290,6249,354130.83,156599.94
Household,343235051,9734,4891724.36,1613215.82
Cereal,502461707,8440,988408.40,747699.60
Clothes,812379586,27,967.68,1982.88
Clothes,819912517,9189,329333.76,674840.16
Beverages,592296826,2648,84179.92,41467.68
Fruits,267081344,4160,28787.20,10025.60
Fruits,502127397,9510,65809.20,22919.10
Clothes,225608813,1516,54333.44,111335.04
Fruits,686011922,5027,34786.84,12115.07
Office Supplies,502135550,1923,1009498.08,242778.75
Office Supplies,613091027,6114,3209605.44,771892.50
Snacks,228302180,8543,832429.92,471061.02
Snacks,877505338,2184,212808.96,120425.76
Clothes,560749328,7042,252385.28,517164.48
Meat,498395478,5152,1878882.88,294694.40
Fruits,181117618,5583,38634.36,13455.03
Beverages,519902074,9432,299843.28,147705.12
Meat,696047675,4830,1761452.70,276276.00
Household,411165750,1937,973419.98,321019.01
Cosmetics,337180125,7947,2092683.51,1381744.89
Clothes,766327130,2082,74618.88,152902.08
Beverages,261155593,598,19010.42,9364.68
Cereal,604526841,1781,208572.91,157778.79
Beverages,949614703,948,30136.92,14845.68
Office Supplies,969905507,5448,2859982.08,687810.00
Cosmetics,409198081,9660,2543767.80,1679584.20
Cosmetics,431603753,9997,2632510.01,1738178.39
Meat,471546351,9899,3610066.31,566222.80
Vegetables,483762204,4841,440192.13,305612.33
Meat,493300139,7328,2672448.32,419161.60
Beverages,145521485,1896,60273.84,29691.36
Vegetables,956100070,112,10184.16,7070.56
Meat,461022222,5575,2033146.75,318890.00
Cosmetics,766586768,8915,2347586.95,1550051.05
Household,899405038,2792,1403091.68,462718.16
Personal Care,856400859,6900,391023.00,172914.00
Vegetables,254810559,2962,269334.66,186991.06
Fruits,582182967,9732,67345.44,23454.12
Personal Care,246379411,7998,453246.66,200429.88
Meat,425573718,5575,2033146.75,318890.00
Beverages,118252217,2314,73562.06,36237.24
Cosmetics,193213737,5093,1341139.69,885519.91
Beverages,239569604,2824,89774.96,44223.84
Cosmetics,816743648,1450,381828.50,252111.50
Personal Care,304472196,8944,506856.48,224136.64
Baby Food,752804076,310,49420.20,29716.60
Beverages,232100617,2585,82177.15,40481.10
Beverages,483035647,9837,312718.23,154047.42
Office Supplies,166595494,8164,4285773.44,1030705.00
Baby Food,714078986,695,110796.90,66622.70
Household,477097451,2593,1303086.22,429737.89
Baby Food,577574717,6049,964331.58,579857.14
Clothes,857747113,5287,189486.08,388277.28
Vegetables,330163466,1562,142032.66,98609.06
Personal Care,327685105,8159,462370.53,204464.54
Meat,453485858,5398,1968596.62,308765.60
Clothes,831052052,5625,201600.00,413100.00
Vegetables,754182517,8221,747535.53,518991.73
Clothes,936988580,4598,164792.32,337677.12
Clothes,363894069,3196,114544.64,234714.24
Household,339635312,4491,2256907.14,744293.43
Cosmetics,439261138,5987,1576556.71,1040959.69
Office Supplies,758132874,7220,3790211.20,911525.00
Beverages,561924350,4757,151225.03,74494.62
Household,536621892,7198,3617282.92,1192924.54
Baby Food,538524329,171,27260.82,16392.06
Snacks,944242990,1339,130472.16,73832.46
